reaction_id,original_smiles,reaction_core,reaction_template
7512,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3](/[C:4]([O:5][H:15])=[C:6](/[O:7][H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8],[C:6]([O:7][H:15])[H:13].[O:5]>>[C:6][O:7][H:13].[O:5][H:15],C(O[#1])[#1].O>>CO[#1].O[#1]
7513,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[H:13][H:15].[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6](=[O:7])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8],[C:6]([O:7][H:15])[H:13]>>[C:6]=[O:7].[H:13][H:15],C(O[#1])[#1]>>C=O.[#1][#1]
7514,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([C@:4]([O:5][H:15])([C:6](=[O:7])[H:14])[H:13])([H:11])[H:12])([H:9])[H:10])[H:8],[C:4](=[O:5])[C:6]([O:7][H:15])[H:13]>>[C:4]([O:5][H:15])([C:6]=[O:7])[H:13],C(=O)C(O[#1])[#1]>>C(O[#1])(C=O)[#1]
7515,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([O+:5]=[C-:4][C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8],[C:3][C:4]=[O:5]>>[C:3][O+:5]=[C-:4],CC=O>>C[O&+]=[C&-]
7516,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:6]([O:7][H:15])([H:8])([H:13])[H:14].[O:1]1[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]1=[O:5],[C:4][C:6].[O:1][H:8]>>[C:6][H:8].[O:1][C:4],CC.O[#1]>>C[#1].OC
7517,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:3](=[C:4]=[O:5])([H:11])[H:12].[C:6]([O:7][H:15])([H:8])([H:13])[H:14].[O:1]=[C:2]([H:9])[H:10],[O:1]([C:2][C:3][C:4][C:6])[H:8]>>[C:3]=[C:4].[C:6][H:8].[O:1]=[C:2],O(CCCC)[#1]>>C=C.C[#1].O=C
7518,[O:1]([C:2]([C:3]([C:4](=[O:5])[C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([C@:4]1([O:5][H:15])[C:6]([H:13])([H:14])[O:7]1)([H:11])[H:12])([H:9])[H:10])[H:8],[C:4]=[O:5].[O:7][H:15]>>[C:4]([O:5][H:15])[O:7],C=O.O[#1]>>C(O[#1])O
7519,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[H:12])[H:11])([H:8])[H:10].[C:6](#[N:7])[H:9],[C:1]([C:2]([C:3][C:6])[H:12])[H:9]>>[C:1]=[C:2][C:3][H:12].[C:6][H:9],C(C(CC)[#1])[#1]>>C=CC[#1].C[#1]
7520,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])=[C:6]=[N:7][C:5]([H:16])([H:17])[H:18])([H:11])[H:12])([H:8])([H:9])[H:10],[C:3]([C:5])[C:6]#[N:7]>>[C:3]=[C:6]=[N:7][C:5],C(C)C#N>>C=C=NC
7521,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C@@:3]([C:4]([H:13])([H:14])[H:15])([C-:6]=[N+:7]=[C:5]([H:16])[H:17])[H:18])([H:11])[H:12])([H:8])([H:9])[H:10],[C:3]([C:5][H:18])[C:6]#[N:7]>>[C:3]([C-:6]=[N+:7]=[C:5])[H:18],C(C[#1])C#N>>C([C&-]=[N&+]=C)[#1]
7522,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([C:4]([C:6]#[N:7])([H:13])[H:14])=[C:5]([H:16])[H:17])([H:11])[H:12])([H:8])([H:9])[H:10].[H:15][H:18],[C:3]([C:4][H:15])([C:5][H:18])[C:6]>>[C:3]([C:4][C:6])=[C:5].[H:15][H:18],C(C[#1])(C[#1])C>>C(CC)=C.[#1][#1]
7523,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C@:3]([C:5]([H:16])([H:17])[H:18])([C:6]1=[N:7][C:4]1([H:13])[H:14])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10],[C:3]([C:4][H:15])[C:6]#[N:7]>>[C:3]([C:6]1=[N:7][C:4]1)[H:15],C(C[#1])C#N>>C(C1=NC1)[#1]
7524,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([H:11])[H:12])([H:8])[H:10].[C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])=[C:6]=[N:7][H:9],[C:1]([C:2][C:3][C:6]#[N:7])[H:9]>>[C:1]=[C:2].[C:3]=[C:6]=[N:7][H:9],C(CCC#N)[#1]>>C=C.C=C=N[#1]
7525,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[N+:7]#[C-:6])([H:11])[H:12])([H:8])([H:9])[H:10],[C:3][C:6]#[N:7]>>[C:3][N+:7]#[C-:6],CC#N>>C[N&+]#[C&-]
7526,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C+:3]=[C:6]=[N-:7])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4]([C:5]([H:16])([H:17])[H:18])([H:13])([H:14])[H:15],[C:3]([C:4])([C:5])[C:6]#[N:7]>>[C+:3]=[C:6]=[N-:7].[C:4][C:5],C(C)(C)C#N>>[C&+]=C=[N&-].CC
7527,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([H:11])[H:12])([H:8])[H:10].[C:3]([C:4]([H:13])([H:14])[H:15])(=[C:5]([H:16])[H:17])[C:6]#[N:7].[H:9][H:18],[C:1]([C:2][C:3][C:5][H:18])[H:9]>>[C:1]=[C:2].[C:3]=[C:5].[H:9][H:18],C(CCC[#1])[#1]>>C=C.C=C.[#1][#1]
7528,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([H:9])([H:11])[H:12])([N:7]=[C:6]=[C:3]([C:4]([H:13])([H:14])[H:15])[C:5]([H:16])([H:17])[H:18])([H:8])[H:10],[C:1]([C:2][C:3][C:6]#[N:7])[H:9]>>[C:1]([C:2][H:9])[N:7]=[C:6]=[C:3],C(CCC#N)[#1]>>C(C[#1])N=C=C
7529,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]1([H:8])([H:10])[C:2]([H:11])([H:12])[C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6][N:7]1[H:9],[C:1][H:9].[C:6]#[N:7]>>[C:1][N:7]([C:6])[H:9],C[#1].C#N>>CN(C)[#1]
7530,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([H:11])[H:12])([H:8])[H:10].[C:3]1([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]([H:9])=[N:7]1,[C:1]([C:2][C:3][C:6]#[N:7])[H:9]>>[C:1]=[C:2].[C:3]1[C:6]([H:9])=[N:7]1,C(CCC#N)[#1]>>C=C.C1C([#1])=N1
7531,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[C:6]#[N:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C@:2]1([H:12])[C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])/[C:6]1=[N:7]/[H:11])([H:8])([H:9])[H:10],[C:2][H:11].[C:6]#[N:7]>>[C:2][C:6]=[N:7][H:11],C[#1].C#N>>CC=N[#1]
7532,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([N+:7]#[C-:6])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:4][C:6]#[N:7]>>[C:4][N+:7]#[C-:6],CC#N>>C[N&+]#[C&-]
7533,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][H:13])([H:8])([H:9])[H:10].[C:3](=[C:4]([C:5]([H:14])([H:15])[H:16])[C:6]#[N:7])([H:11])[H:12],[O:2][C:3][C:4][H:13]>>[C:3]=[C:4].[O:2][H:13],OCC[#1]>>C=C.O[#1]
7534,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:3]([N:7]=[C:6]=[C:4]([C:5]([H:14])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:3][C:4][C:6]#[N:7]>>[C:3][N:7]=[C:6]=[C:4],CCC#N>>CN=C=C
7535,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C-:1]([O+:2]=[C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])[H:11])([H:8])[H:10].[H:9][H:12],[C:1]([O:2][C:3][H:12])[H:9]>>[C-:1][O+:2]=[C:3].[H:9][H:12],C(OC[#1])[#1]>>[C&-][O&+]=C.[#1][#1]
7536,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:5]([H:14])([H:15])[H:16])([H:8])([H:9])[H:10].[C:3](=[C:4]([C:6]#[N:7])[H:13])([H:11])[H:12],[O:2][C:3][C:4][C:5]>>[C:3]=[C:4].[O:2][C:5],OCCC>>C=C.OC
7537,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:3]([C:4]([C-:6]=[N+:7]=[C:5]([H:14])[H:16])([H:13])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10],[C:4]([C:5][H:15])[C:6]#[N:7]>>[C:4]([C-:6]=[N+:7]=[C:5])[H:15],C(C[#1])C#N>>C([C&-]=[N&+]=C)[#1]
7538,[C:1]([O:2][C:3]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([O:2][C:3]([C:4](=[C:6]=[N:7][C:5]([H:14])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:4]([C:5])[C:6]#[N:7]>>[C:4]=[C:6]=[N:7][C:5],C(C)C#N>>C=C=NC
7539,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:3](=[C:4]1[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12].[H:8][H:13].[O:1]=[C:2]([H:9])[H:10],[O:1]([C:2][C:3][C:4][H:13])[H:8]>>[C:3]=[C:4].[H:8][H:13].[O:1]=[C:2],O(CCC[#1])[#1]>>C=C.[#1][#1].O=C
7540,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:5](=[O:6])([H:14])[H:15].[O:1]([C:2]([C:3]([C:4](=[C:7]([H:16])[H:17])[H:13])([H:11])[H:12])([H:9])[H:10])[H:8],[C:4]1[C:5][O:6][C:7]1>>[C:4]=[C:7].[C:5]=[O:6],C1COC1>>C=C.C=O
7541,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:2]([H:9])[H:10].[O:1]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])[H:8],[O:1][C:2][C:3]>>[C:2].[O:1][C:3],OCC>>C.OC
7542,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([C:4](=[C:5]([H:14])[H:15])[C:7]([O:6][H:13])([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8],[C:4]([C:5][O:6])[H:13]>>[C:4]=[C:5].[O:6][H:13],C(CO)[#1]>>C=C.O[#1]
7543,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]1[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C@@:4]([C:7]([O:6][H:8])([H:16])[H:17])([H:13])[C:5]1([H:14])[H:15],[C:5][O:6].[O:1][H:8]>>[O:1][C:5].[O:6][H:8],CO.O[#1]>>OC.O[#1]
7544,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([C:4][C:7]([O:6][C:5]([H:13])([H:14])[H:15])([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8],[C:4]([C:5])[H:13]>>[C:4].[C:5][H:13],C(C)[#1]>>C.C[#1]
7545,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C:3]([C:4]([C:7]([O+:6]=[C-:5][H:14])([H:16])[H:17])([H:13])[H:15])([H:11])[H:12])([H:9])[H:10])[H:8],[C:4][C:5]([O:6])[H:15]>>[C-:5]=[O+:6].[C:4][H:15],CC(O)[#1]>>[C&-]=[O&+].C[#1]
7546,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[H:13][H:16].[O:1]([C:2]([C:3]([C:4]1=[C:7]([H:17])[O:6][C:5]1([H:14])[H:15])([H:11])[H:12])([H:9])[H:10])[H:8],[C:4]([C:7][H:16])[H:13]>>[C:4]=[C:7].[H:13][H:16],C(C[#1])[#1]>>C=C.[#1][#1]
7547,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:4]1([H:13])=[C:5]([H:15])[O:6][C:7]1([H:16])[H:17].[H:10][H:14].[O:1]([C:2](=[C:3]([H:11])[H:12])[H:9])[H:8],[C:2]([C:3][C:4][C:5][H:14])[H:10]>>[C:2]=[C:3].[C:4]=[C:5].[H:10][H:14],C(CCC[#1])[#1]>>C=C.C=C.[#1][#1]
7548,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:2]1([H:9])([H:10])[C:3]([H:11])([H:12])[C@@:4]2([H:13])[C@:5]1([H:15])[O:6][C:7]2([H:16])[H:17].[O:1]([H:8])[H:14],[C:5][H:14].[O:1][C:2]>>[C:2][C:5].[O:1][H:14],C[#1].OC>>CC.O[#1]
7549,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[H:11][H:16].[O:1]([C:2]([C@:3]1([H:12])[C@@:4]2([H:13])[C:5]([H:14])([H:15])[O:6][C@@:7]12[H:17])([H:9])[H:10])[H:8],[C:3][H:11].[C:7][H:16]>>[C:3][C:7].[H:11][H:16],C[#1].C[#1]>>CC.[#1][#1]
7550,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[H:8][H:10].[O:1]=[C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])[H:9],[O:1]([C:2][H:10])[H:8]>>[H:8][H:10].[O:1]=[C:2],O(C[#1])[#1]>>[#1][#1].O=C
7551,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[O:1]([C:2]([C@@:3]1([H:12])[C@:4]([C:7]([O:6][H:11])([H:16])[H:17])([H:13])[C:5]1([H:14])[H:15])([H:9])[H:10])[H:8],[C:3][H:11].[C:5][O:6]>>[C:3][C:5].[O:6][H:11],C[#1].CO>>CC.O[#1]
7552,[O:1]([C:2]([C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8]>>[C:2](=[C:3]([C:4]1([H:13])[C:5]([H:14])([H:15])[O:6][C:7]1([H:16])[H:17])[H:12])([H:9])[H:10].[O:1]([H:8])[H:11],[O:1][C:2][C:3][H:11]>>[C:2]=[C:3].[O:1][H:11],OCC[#1]>>C=C.O[#1]
7553,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C:2]1=[C:6]([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10].[C:3](=[C:4]=[C:5]([H:13])[H:14])([H:11])[H:12],[C:2]([C:3][C:4]#[C:5])[C:6][H:14]>>[C:2]=[C:6].[C:3]=[C:4]=[C:5][H:14],C(CC#C)C[#1]>>C=C.C=C=C[#1]
7554,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C:4]1=[C:5]2[H:13])([H:8])([H:9])[H:10].[C:6](=[N:7][H:16])([H:14])[H:15],[C:2]1[C:6][N:7]1.[C:4]#[C:5]>>[C:2]1[C:4]=[C:5]1.[C:6]=[N:7],C1CN1.C#C>>C1C=C1.C=N
7555,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C+:2]1[C:3]([H:11])([H:12])[C:4](=[C-:5][H:13])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10],[C:2][C:6].[C:4]#[C:5]>>[C+:2].[C:4](=[C-:5])[C:6],CC.C#C>>[C&+].C(=[C&-])C
7556,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1](=[C:2]1[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])[H:9].[C:3](=[C:4]=[C:5]([H:10])[H:13])([H:11])[H:12],[C:1]([C:2][C:3][C:4]#[C:5])[H:10]>>[C:1]=[C:2].[C:3]=[C:4]=[C:5][H:10],C(CCC#C)[#1]>>C=C.C=C=C[#1]
7557,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C+:2]1[C:3]([H:11])([H:12])[C-:4]=[C:5]([H:13])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10],[C:2][C:6].[C:4]#[C:5]>>[C+:2].[C-:4]=[C:5][C:6],CC.C#C>>[C&+].[C&-]=CC
7558,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C+:2]([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[N:7]([C-:6]([H:14])[H:15])[H:16])([H:8])([H:9])[H:10],[C:2][C:6]>>[C+:2].[C-:6],CC>>[C&+].[C&-]
7559,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C@:2]([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])([N:7]([C:6][H:14])[H:16])[H:15])([H:8])([H:9])[H:10],[C:2][C:6][H:15]>>[C:2][H:15].[C:6],CC[#1]>>C[#1].C
7560,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1](/[C:2]([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])=[N:7]/[C:6]([H:14])([H:15])[H:16])([H:8])([H:9])[H:10],[C:2]1[C:6][N:7]1[H:16]>>[C:2]=[N:7][C:6][H:16],C1CN1[#1]>>C=NC[#1]
7561,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1](/[C:2]([C:6]([C:5](=[C:4]=[C:3]([H:11])[H:12])[H:13])([H:14])[H:15])=[N:7]\[H:16])([H:8])([H:9])[H:10],[C:2]1([C:3][C:4]#[C:5])[C:6][N:7]1>>[C:2]([C:6][C:5]=[C:4]=[C:3])=[N:7],C1(CC#C)CN1>>C(CC=C=C)=N
7562,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([N:7]([C:6]([C:2][C:3]([C:4]#[C:5][H:13])([H:11])[H:12])([H:14])[H:15])[H:16])([H:8])([H:9])[H:10],[C:1][C:2][N:7]>>[C:1][N:7].[C:2],CCN>>CN.C
7563,[C:1]([C@@:2]1([C:3]([C:4]#[C:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1(/[C:3](=[C:4](\[C:5][H:13])[H:12])[H:11])[C:6]([H:14])([H:15])[N:7]1[H:16])([H:8])([H:9])[H:10],[C:3]([C:4]#[C:5])[H:12]>>[C:3]=[C:4]([C:5])[H:12],C(C#C)[#1]>>C=C(C)[#1]
7564,[C:1]([C@@:2]([O:3][H:12])([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C@:6]1([C:7]([H:17])([H:18])[H:19])[H:16])[H:11])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([O:3][H:12])[H:11])([H:9])[H:10].[C:4]1([H:13])=[C:6]([H:16])[C:5]1([H:14])[H:15].[C:7]([H:8])([H:17])([H:18])[H:19],[C:1]([C:2][C:4][C:6][C:7])[H:8]>>[C:1]=[C:2].[C:4]=[C:6].[C:7][H:8],C(CCCC)[#1]>>C=C.C=C.C[#1]
7565,[C:1]([C@@:2]([O:3][H:12])([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C@:6]1([C:7]([H:17])([H:18])[H:19])[H:16])[H:11])([H:8])([H:9])[H:10]>>[C:1](/[C:2]([O:3][H:12])=[C:4](\[C:5]([C:6]([C:7]([H:11])([H:17])[H:19])([H:16])[H:18])([H:14])[H:15])[H:13])([H:8])([H:9])[H:10],[C:2]([C:4][C:6][C:7][H:18])[H:11]>>[C:2]=[C:4].[C:6]([C:7][H:11])[H:18],C(CCC[#1])[#1]>>C=C.C(C[#1])[#1]
7566,[C:1]([C@@:2]([O:3][H:12])([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C@:6]1([C:7]([H:17])([H:18])[H:19])[H:16])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([O:3][H:12])([C:4][C:6]([C:5]([H:13])([H:14])[H:15])([C:7]([H:17])([H:18])[H:19])[H:16])[H:11])([H:8])([H:9])[H:10],[C:4]([C:5])[H:13]>>[C:4].[C:5][H:13],C(C)[#1]>>C.C[#1]
7567,[C:1]([C@@:2]([O:3][H:12])([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C@:6]1([C:7]([H:17])([H:18])[H:19])[H:16])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]([O:3][H:12])([C:4][C:5]([C:6]([C:7]([H:17])([H:18])[H:19])([H:13])[H:16])([H:14])[H:15])[H:11])([H:8])([H:9])[H:10],[C:4]([C:6])[H:13]>>[C:4].[C:6][H:13],C(C)[#1]>>C.C[#1]
