reaction_type_index,reaction_type,reaction_indices
1130,C(n1cncc1)[#1]>>[C&-][N&+]1=CN=CC1[#1],"[7240, 7927]"
1131,C(N)C[#1]>>C=C.N[#1],"[4395, 9978]"
1132,C1(C(=O)[#1])CN1>>[C&-]#[O&+].C(C[#1])=N,"[3287, 9989]"
1133,C(N)NC>>C=N.NC,"[10122, 10139]"
1134,C1(C(=O)[#1])CN1>>[C&-]#[O&+].C(=C)N[#1],"[3285, 9982]"
1135,C(C)(O)[#1].O>>C=[O&+].C[#1].[O&-],"[4365, 10548]"
1136,C1(C#N)CO1>>C([O&+]=C)=C=[N&-],"[5702, 9308]"
1137,C/N=C\O>>CO.N#C,"[2404, 7710]"
1138,C(C1N([#1])C1)[#1]>>C=CN=C.[#1][#1],"[459, 2261]"
1139,C/N=C/O>>CO.N#C,"[5522, 6761]"
1140,C/C=N\O[#1]>>C[#1].C#[N&+][O&-],"[6830, 11587]"
1141,C(N=C[#1])[#1]>>C=[N&+]=[C&-].[#1][#1],"[5521, 9750]"
1142,C(N=CO)[#1]>>C=[N&+]=[C&-].O[#1],"[4536, 6112]"
1143,C(N)[#1].C[#1]>>[C&-].C=[N&+].[#1][#1],"[10300, 10305]"
1144,C.OC[#1]>>[C&+].[C&-].O[#1],"[3871, 10967]"
1145,C.OC>>CO.C,"[5405, 8360]"
1146,C(C)CC#N>>C1C(CC)=N1,"[64, 7877]"
1147,C.O(CC)[#1]>>C[#1].C.O=C,"[5685, 9402]"
1148,C.NC>>CC.N,"[7024, 7793]"
1149,C.CO.N>>C.NC.O,"[892, 8637]"
1150,C.N>>C=N,"[4935, 7919]"
1151,C(N1CCC1)[#1]>>C=NC[#1].C=C,"[6239, 9349]"
1152,C(C)C#N>>C1C(C)=N1,"[7004, 10833]"
1153,C/N=C\N>>CN.N#C,"[2531, 2669]"
1154,C1([#1])OC1>>C(=O)C[#1],"[994, 1048]"
1155,C(C(N[#1])[#1])[#1]>>C(C=N)[#1].[#1][#1],"[2448, 3743]"
1156,C1([#1])NC1>>C(=N)C[#1],"[2746, 9633]"
1157,C(C(O[#1])[#1])C>>C(C=O)[#1].C[#1],"[4401, 4865]"
1158,C(N[#1])C>>C=N.C[#1],"[4388, 7071]"
1159,C#CCCC#C>>C(=C=C)C=C=C,"[4349, 11024]"
1160,C#CCCC#N>>C(=C=C)N=C=C,"[2549, 10841]"
1161,C1([#1])CCOC1>>C(=C)C[#1].C=O,"[518, 1728]"
1162,C(C[#1])OC[#1]>>C=C.C=O.[#1][#1],"[1552, 2291]"
1163,C(C[#1])[#1].C#C.O>>C=C.C=C[#1].O[#1],"[4466, 9971]"
1164,C(NC[#1])[#1].O>>C[N&+]=C.[#1][#1].[O&-],"[4549, 10444]"
1165,C(co)[#1]>>c(c[#1])o,"[6700, 11274]"
1166,C1([#1])CC1C[#1]>>C(=C)C=C.[#1][#1],"[5038, 9619]"
1167,C#CCNC[#1]>>C(=C=C)[#1].N=C,"[1423, 9966]"
1168,C#N.N[#1]>>NN(C)[#1],"[5948, 7001]"
1169,C1(O)CC1>>[C&-]=[O&+].C=C,"[9015, 10860]"
1170,C(C1C([#1])C1)[#1]>>C=CC=C.[#1][#1],"[2332, 11705]"
1171,C(n1cccn1)[#1]>>C=[N&+]1C([#1])C=C[N&-]1,"[9078, 9336]"
1172,C(n1cccn1)[#1]>>C=[N&+]1C=CC([#1])[N&-]1,"[9080, 9331]"
1173,C(n1cccn1)[#1]>>[C&-][N&+]1([#1])C=CC=N1,"[9076, 9338]"
1174,C(C)[#1].N>>C[#1].NC,"[1551, 8327]"
1175,C(n1cccn1)[#1]>>[C&-][N&+]1=CC([#1])C=N1,"[9081, 9325]"
1176,C(C)[#1].N.O>>CC[#1].[N&+].[O&-],"[6225, 7017]"
1177,C1(C[#1])CC1>>C(=C)[#1].C=C,"[8155, 10393]"
1178,C(n1ccnc1)[#1]>>[C&-][N&+]1=CC([#1])N=C1,"[1949, 11883]"
1179,C(C)(C#C)[#1]>>[C&-]=C=[C&+].C[#1],"[3907, 8352]"
1180,C(n1ccnc1)[#1]>>[C&-][N&+]1=CC=NC1[#1],"[1951, 11875]"
1181,C(n1ccnc1)[#1]>>[C&-][N&+]1=CN=CC1[#1],"[1955, 11884]"
1182,C(C)O[#1].O[#1]>>C=O.C[#1].O[#1],"[3927, 4683]"
1183,C(n1cccc1)[#1]>>C1N2C1C=CC2[#1],"[515, 8901]"
1184,C(OC)(C)[#1]>>C(=O)C[#1].C,"[283, 11253]"
1185,C(CO)C#N>>C=C.O[N&+]#[C&-],"[2864, 11371]"
1186,C#C.C[#1]>>C(=C[#1])C,"[8347, 9207]"
1187,C(C#C)[#1]>>C1C([#1])=C1,"[2818, 3721]"
1188,C(=O)C(=O)[#1].O>>[C&+]O[#1].[C&-]#[O&+].[O&-],"[5200, 9948]"
1189,C(=O)C#C>>C12OC1C2,"[2878, 9291]"
1190,C(C#C)(C)[#1]>>[C&-]=C=[C&+].C[#1],"[5689, 8194]"
1191,C(=O)C#C>>C(=C)C=O,"[7303, 9977]"
1192,C(O[#1])CC#N>>C=O.C=C=N[#1],"[3550, 6968]"
1193,C(CC#N)C#C>>C1C(N=C=C)=C1,"[9744, 11819]"
1194,n1cnnc1>>N=CN1N=C1,"[1235, 2655]"
1195,C(O[#1])CC#C>>C=O.C=C=C[#1],"[3614, 9976]"
1196,C(CC)[#1].C>>C(C[#1])C.C,"[8775, 11922]"
1197,C(CO)[#1].N>>C(C[#1])N.O,"[1335, 9416]"
1198,C(OCN[#1])[#1]>>C=O.C=N.[#1][#1],"[7913, 8630]"
1199,C#C.CO>>C(=CC)O,"[5379, 6507]"
1200,C(CO)[#1].O>>C(C[#1])O.O,"[4771, 8273]"
1201,C(C#CCO)[#1]>>C=C=C=C.O[#1],"[2234, 5218]"
1202,C1CC1CC>>C=C.C(=C)C,"[9565, 10100]"
1203,C#C.C#C[#1]>>C(=C[#1])C=C,"[4269, 8704]"
1204,C(CC)[#1].O>>C(C)C.O[#1],"[5874, 11832]"
1205,C(CC)[#1].C=O>>[C&+][O&-].C=C.C[#1],"[1359, 11575]"
1206,C(=O)CC>>C1(C)OC1,"[5347, 10211]"
1207,C(CCN[#1])[#1]>>C=C.[#1][#1].N=C,"[105, 11779]"
1208,C(C#C)[#1].C=O>>C=C=CCO[#1],"[2013, 11838]"
1209,C(C#C)[#1].C[#1]>>C=C=CC.[#1][#1],"[3952, 7999]"
1210,C(O[#1])[#1].N[#1].O>>C=O.[#1][#1].N.O[#1],"[6487, 6609]"
1211,C(CCO[#1])[#1]>>C=C.C(O[#1])[#1],"[1283, 6359]"
1212,C1CC1.O>>C=C.[O&+][C&-],"[2676, 10757]"
1213,C(C#C)[#1].N[#1]>>C=C=CN.[#1][#1],"[1474, 9205]"
1214,C(C#C)[#1].O=C>>O(CC=C=C)[#1],"[6081, 6941]"
1215,C(OC1CC1)[#1]>>C=O.C(=C)C[#1],"[9434, 9551]"
1216,C(CC#N)C#C>>C=C=CN=C=C,"[9739, 11821]"
1217,C(OCC)[#1].O>>C[O&+]=C.C[#1].[O&-],"[8522, 8523]"
1218,C(=O)C1CO1>>C1(C=O)OC1,"[1637, 2805]"
1219,C(OCC)[#1]>>[C&-].C=[O&+]C[#1],"[4013, 9433]"
1220,C(C#C)C>>C=C=CC,"[1255, 8705]"
1221,C(=O)C(O[#1])C>>C(O[#1])(C=O)C,"[9117, 10203]"
1222,C(C#C)C>>C=C(C)C,"[4268, 4435]"
1223,C(OC)C>>C=O.CC,"[542, 5136]"
1224,C(CC)C>>C=C.C.C,"[817, 4630]"
1225,C(=O)NC>>C1(C)ON1,"[1203, 6753]"
1226,C(O[#1])CO[#1]>>C=O.C=O.[#1][#1],"[6009, 8927]"
1227,C(CC#N)C[#1]>>C=C.C=C=N[#1],"[8835, 10529]"
1228,C(CN)[#1]>>C(C[#1])N,"[92, 6493]"
1229,C(CC)[#1]>>C(C)C[#1],"[5730, 7231]"
1230,C(c1ccnn1)[#1]>>C=C1C=C[N&-][N&+]1[#1],"[3214, 8827]"
1231,C(O)[#1].O=C>>C=[O&+].O([C&-])[#1],"[209, 7065]"
1232,C(c1ccnn1)[#1]>>C=C1C=CN([#1])N1,"[3205, 8831]"
1233,C(O[#1])(C)C=O>>C(=O)C(C)O[#1],"[6678, 11826]"
1234,C(O[#1])(C[#1])C>>C(=O)CC.[#1][#1],"[8047, 8664]"
1235,C1C2CCCC12>>C=CC=C.C=C,"[4476, 9712]"
1236,C(c1ccco1)[#1]>>C=C1C([#1])C=CO1,"[2938, 6861]"
1237,C(OCO)[#1]>>C=[O&+][C&-].O[#1],"[7106, 7109]"
1238,C(CO)[#1]>>CC[#1].O,"[2919, 4153]"
1239,C1C([#1])OC=N1>>C(C=O)[#1].C#N,"[4157, 7256]"
1240,n1cnnc1[#1]>>C#N.N=C=N[#1],"[1241, 2652]"
1241,C(CO)[#1].O[#1]>>C=C.O[#1].O[#1],"[2979, 3361]"
1242,C(=N[#1])OCC>>C#N.C[#1].O=C,"[8087, 10525]"
1243,C1C([#1])OCC1>>C(C=O)[#1].C=C,"[3259, 11011]"
1244,n1cnnc1>>N=C[N&-][N&+]#C,"[1238, 2654]"
1245,C1CC1N>>C=C.[N&+]=[C&-],"[5132, 7393]"
1246,C#C.C=O>>C(C=O)=C,"[2007, 9773]"
1247,C(=O)CC[#1]>>CO[#1].C=C,"[8115, 10738]"
1248,C1CC1CC[#1]>>C=CC[#1].C=C,"[9570, 11434]"
1249,c1([#1])c([#1])ncnc1>>C1=C=NC=NC=1.[#1][#1],[3680]
1250,c1([#1])ccncc1>>C(=CC=[N&+]=[C&-])=C[#1],[3133]
1251,c1([#1])ccncc1>>C1=CC=NC([#1])C=1,[3144]
1252,C(C)C#N.O>>C1C(O)=N1.C,[10700]
1253,c1([#1])nnncn1>>C1=[N&+]([#1])[N&-]N=CN=1,[1043]
1254,c1([#1])nnncn1>>C(=N[#1])=NC=[N&+]=[N&-],[1042]
1255,c1cccn1>>C1C([C&-])[C&+]N1,[11071]
1256,c1([#1])cnnnc1>>C(=CN=[N&+]=[N&-])=C[#1],[856]
1257,c1([#1])cnccn1>>C1=CN=CC([#1])N=1,[235]
1258,c1([#1])cncnc1>>[C&+]1=C[N&-]C([#1])N=C1,[3683]
1259,c1([#1])cnncc1>>C1=CN([#1])N=CC=1,[5278]
1260,C(C#C)CN[#1]>>C=C=C[#1].C=N,[7490]
1261,c1([#1])cnncc1>>C1(=C[#1])[N&+](=[N&-])C=C1,[5281]
1262,C(C#C)C[#1]>>C=C=C[#1].C,[7496]
1263,c1c(N)cco1>>C1=[O&+][C&-]C1=CN,[10957]
1264,c1ccccc1>>C12C3C1C=CC23,[2499]
1265,c1c(N)cco1>>C1=C(C=C[O&-])[N&+]1,[10947]
1266,c1c(N)c([#1])co1>>[C&-]1C([N&+][#1])=C=CO1,[10950]
1267,c1c(C[#1])ccn1[#1]>>C1=NC=CC1=C.[#1][#1],[11335]
1268,c1ccccc1[#1]>>C1=CC([#1])[C&+]C=[C&-]1,[2501]
1269,c1cccn1>>C#C.CC=N,[11089]
1270,c1c(C[#1])ccn1>>C1=C([C&+])C([#1])[C&-]N1,[11332]
1271,c1c(C[#1])ccn1>>C1([#1])C(=C)C=CN1,[11350]
1272,O[#1].c1nncn1>>C1=NC([#1])NN1.O,[7321]
1273,c1cccn1>>C(/C=C\C)=N,[8465]
1274,C(C)C#C>>[C&-].C=C=[C&+],[5995]
1275,c1c(C)ccn1>>C1=[C&-]C(C)[C&+]N1,[11346]
1276,c1cccn1>>C12C3C1C3N2,[6927]
1277,c1c(C)ccn1>>C1=C=CC(C)N1,[11349]
1278,c1ccnc([#1])c1>>C1=C[C&-]=[N&+]=CC1[#1],[3135]
1279,c1c(C)ccn1>>C1(C)[C&-]=C[C&+]N1,[11337]
1280,c1ccn([#1])c([#1])n1>>C1C=CN=C=N1.[#1][#1],[9177]
1281,c1c(C)ccn1>>C(=C=CC=N)C,[11334]
1282,O[#1].c1nncn1>>ON=C/N=C\N[#1],[7310]
1283,C(C#C)[#1].C#N>>C=C(C=[N&+]=[C&-])[#1],[11823]
1284,c1c(C)ccn1>>C(=C=CC)NC,[11342]
1285,O[#1].c=n>>[O&-].cn[#1],[9447]
1286,c1c(C[#1])c([#1])cn1>>[C&+]1C(=C)[C&-]=CN1.[#1][#1],[11344]
1287,Occc>>O[C&+]cc,[5543]
1288,Oc1nonn1>>ON=C=NN=O,[2515]
1289,Oc1nocn1>>ON=C=NC=O,[4715]
1290,c1cccno1>>C1C2C=CN2O1,[11311]
1291,Oc1cnnc1>>OC1[C&+]=CN[N&-]1,[435]
1292,c1cccno1>>C1C=CC=[N&+]1[O&-],[11304]
1293,Oc1nnnn1>>ON=C=NN=N,[4008]
1294,Oc1nncn1>>O[N&+]1=C=NN[C&-]1,[405]
1295,Oc1nncn1>>ON=C=NNC,[406]
1296,Oc1nncn1>>ON=C=NC=N,[400]
1297,Oc1cncn1>>C#N.[O&+]=[C&-]C=N,[8310]
1298,Oc1cnnc1>>OC1[C&+]=C[N&-]N1,[433]
1299,C(C)(O[#1])C=O>>C(=O)C(C)O[#1],[4967]
1300,Oc1nncc1>>OC=C=NNC,[11618]
1301,Oc1nccn1>>OC1C=[N&+]=[C&-]N1,[4299]
1302,c1ccco1>>C12C3C1C3O2,[10948]
1303,Oc1cocn1>>OC=C=NC=O,[3180]
1304,Oc1cnnc1>>OC=C=CN=N,[446]
1305,Oc1cnncn1>>O[N&+]1=CN=C=C[N&-]1,[7941]
1306,C(=[N&+]=[N&-])[#1]>>C#[N&+][N&-][#1],[4293]
1307,Oc1cnnn1>>OC=C=NN=N,[4602]
1308,c1cccno1>>C=CC=CN=O,[11306]
1309,Oc1cccn1>>OC1CNC=C1,[4216]
1310,Oc1ccnn1>>OC1CNN=C1,[1789]
1311,Oc1cnc([#1])n1>>[O&+]=C1C([#1])N[C&-]=N1,[2481]
1312,Oc1cncc1>>OC1[C&-]=C[C&+]N1,[4050]
1313,C(C)(C#N)[#1].O>>C([O&+])=C=[N&-].C[#1],[10693]
1314,Oc1cncn1>>N#C.OC=C=N,[7488]
1315,c(cn)c>>c(cc)n,[8977]
1316,C(C#C)C1CN1>>C=C=CNC=C,[7492]
1317,c(c[#1])o>>C(co)[#1],[11509]
1318,C(C)(C)C#N>>[C&+]=C=[N&-].CC,[7526]
1319,Oc1cncn1>>[O&+]=[C&-]NC1C=N1,[7478]
1320,c1ccco1>>[C&-]=[O&+]C1C=C1,[9792]
1321,Oc1cncn1>>OC1[C&-]=[N&+]C=N1,[7487]
1322,c(=n)n[#1]>>c(n[#1])n,[12]
1323,c(=n)n(n)[#1]>>c(n)nn[#1],[15]
1324,Oc1cncn1>>OC1[N&-]C=[C&+]N1,[797]
1325,C(C)(O)C#N>>[C&+]=C=[N&-].CO,[4330]
1326,C(C)=N[#1]>>C#N.C[#1],[2339]
1327,[#1][C@@]1O[C@@]1[#1]>>[C&-]=[O&+]C.[#1][#1],[7672]
1328,C(=O)N[#1]>>C1([#1])ON1,[5827]
1329,[#1][C@@]1C[C@@](O)C1>>[C&-]=[O&+].C(C[#1])=C,[11501]
1330,C(=O)[#1].O>>C=[O&+][#1].[O&-],[1171]
1331,C(C#C)C1CN1>>C=C=CCC=N,[7491]
1332,c1c([#1])ocn1>>C(=C)/N=C\O[#1],[3174]
1333,c1c([#1])occ1>>C1=[C&-][O&+]=CC1[#1],[11691]
1334,c1c([#1])occ1>>C1=C=[O&+][C&-]C1[#1],[1836]
1335,C(C#N)NC[#1]>>C=C=NCN[#1],[9901]
1336,c1cc([#1])cn1>>CNC=C=C[#1],[4217]
1337,C(C#N)[#1].N=C>>N(C[#1])N=C=C,[8567]
1338,c1c([#1])nno1>>C1=[C&+]N([#1])[N&-]O1,[4101]
1339,C(C#N)[#1].O=C[#1]>>C=C=[N&-].[#1][#1].[O&+]#C,[10613]
1340,c1c([#1])nnn1>>C(=[C&+]N[#1])N=[N&-],[7957]
1341,c1c([#1])nnn1>>C(=C=NN=N)[#1],[4109]
1342,C(C#N)C#N>>C1C([N&+]#[C&-])=N1,[491]
1343,c1c([#1])nnn1>>C(=C=N)[#1].N#N,[9007]
1344,c1c([#1])nncn1>>C1=C=[N&+]([#1])[N&-]C=N1,[7938]
1345,O[#1].O.O>>[O&+].[O&-].O[#1],[2361]
1346,c1c([#1])nncc1>>C1=CC([#1])[N&-][N&+]#C1,[5285]
1347,C(C#N)[#1]>>C1C([#1])=N1,[8840]
1348,C(C(=O)C)[#1]>>C=C(OC)[#1],[9951]
1349,c1cc([#1])cno1>>C1C([#1])[C&+]=C[N&-]O1,[11310]
1350,C(C#CCC1CO1)[#1]>>C=C=C=C.C(C[#1])=O,[9216]
1351,c1c([#1])nco1>>C1([#1])[C&-]=[N&+]=CO1,[3116]
1352,C(C#CC#N)[#1]>>C=C([C&+]=C=[N&-])[#1],[1319]
1353,c1c([#1])ncnn1>>[C&-](N=[N&+]=C[N&+]#[C&-])[#1],[6990]
1354,c1c([#1])ncnn1>>C1=C=[N&+]([#1])C=N[N&-]1,[6986]
1355,c1c([#1])ncnn1>>C1=C=NC=NN1[#1],[6988]
1356,c1c([#1])ncnn1>>C(=C=NC=[N&+]=[N&-])[#1],[6981]
1357,C(C#CC#C)[#1]>>C=C([C&-]=C=[C&+])[#1],[2640]
1358,c1cc([#1])co1>>C1=CC(=C[#1])O1,[2937]
1359,c1c([#1])nncn1>>C1=C=NN=CN1[#1],[7940]
1360,c1cc(O[#1])co1>>C1=CC(=O)C([#1])O1,[9787]
1361,c1cc(O[#1])co1>>C1=[O&+]C=C([O&-])C1[#1],[9795]
1362,c1cc(O)nn1>>CNN=C=CO,[8825]
1363,c1cc(O)nn1>>C(C=C=NO)=N,[8829]
1364,c1cc(N[#1])co1>>C1=CC(=N)C([#1])O1,[6856]
1365,c1cc(N[#1])cn1[#1]>>C1=CC(=N)C=N1.[#1][#1],[11085]
1366,C(C#N)CC[#1]>>C1C([#1])=N1.C=C,[9049]
1367,c1cc(O[#1])nn1>>[C&+]1C([#1])C([O&-])=NN1,[8823]
1368,c1cc([#1])c([#1])o1>>C(=CC#C[#1])O[#1],[10687]
1369,c1cc(N)co1>>C(=CC1=C[N&+]1)[O&-],[6853]
1370,c1cc(N)cn1>>[C&-]=[N&+][C&-]C1=C[N&+]1,[6935]
1371,c1cc(N)cn1>>[C&+](C=C1[N&+][C&-]1)[N&-],[6917]
1372,c1cc(N)cn1>>C(C=C1[N&+][C&-]1)=N,[11086]
1373,c1c([#1])ocn1>>C(=C=O)N=C[#1],[9512]
1374,c1cc([#1])cn1>>C(=C[#1])/[N&+]=C\[C&-],[7182]
1375,c1cc(C[#1])cn1>>C12C(C([#1])=CN1)C2,[8571]
1376,c1cc(C[#1])cn1>>C1([#1])[C&-]C(=C)[C&+]N1,[8591]
1377,c1cc(C)cn1>>[C&+]1C=[C&-]C(C)N1,[8576]
1378,c1cc(C)cn1>>[C&+]1C(C)[C&-]=CN1,[8575]
1379,c1cc(C)cn1>>CNC=C=CC,[8572]
1380,c1cc(C)cn1>>C1(C)C=C=CN1,[8590]
1381,C(C#N)C=O>>C=C=CN=O,[11486]
1382,c1cc(C)cn1>>C(C=C=CC)=N,[8581]
1383,c1c([#1])onn1>>[C&-](CO[#1])[N&+]#N,[3367]
1384,C(C#N)N>>C=C=NN,[9893]
1385,C(C#N)C1CC1>>C=C=NCC=C,[9046]
1386,c1c([#1])ocn1>>C(=C=O)[#1].C#N,[2076]
1387,c1cc(C[#1])cn1>>C1=CC(=C)C([#1])N1,[8594]
1388,c1ccc(O[#1])n1>>C1=CC([#1])C(=O)N1,[10031]
1389,c1ccc(O[#1])n1[#1]>>C1=NC(=O)C=C1.[#1][#1],[10025]
1390,C(C(CC)[#1])[#1]>>C=CC[#1].C[#1],[7519]
1391,c1ccc([#1])n1>>C(=CC=C=N)[#1],[8588]
1392,C(C(C[#1])C)[#1]>>C=CC.C.[#1][#1],[7818]
1393,C(C(C[#1])O)[#1]>>C(C=C)O.[#1][#1],[5575]
1394,c1c([#1])cncc1>>C1=C=CN=CC1[#1],[3140]
1395,C(C(O)C[#1])[#1]>>C(O)C=C.[#1][#1],[4289]
1396,C(C(O)C[#1])[#1]>>C=CCO.[#1][#1],[3580]
1397,C(C(OC)C)[#1]>>C(C=O)C.C[#1],[9890]
1398,c1ccc([#1])n1>>[C&+]1C([#1])C=[C&-]N1,[6923]
1399,C(C(O[#1])[#1])N>>C(C=O)[#1].N[#1],[6466]
1400,C(C(O[#1])[#1])O>>C(C=O)[#1].O[#1],[4323]
1401,c1cc([#1])n([#1])cn1>>C1C=C=NC=N1.[#1][#1],[9191]
1402,c1c([#1])c(N)cn1>>C1=C=C([N&+][#1])[C&-]N1,[11088]
1403,c1c([#1])c(C[#1])cn1>>C1=[C&-]C(=C)[C&+]N1.[#1][#1],[8570]
1404,c1ccc([#1])o1>>C1=[O&+][C&-]=CC1[#1],[2176]
1405,c1cccc([#1])c1>>C1=CC([#1])C=C=C1,[2498]
1406,c1c(O[#1])ncc1>>C1=CC([#1])NC1=O,[8808]
1407,c1c(O[#1])ncc1>>C1([#1])C(=O)NC=C1,[8816]
1408,c1c(O[#1])ccn1>>C1=C([O&-])C([#1])[C&+]N1,[8470]
1409,c1c(O[#1])ccn1>>C1([#1])C(=O)C=CN1,[8475]
1410,c1c(O)nco1>>C(=C=NC=O)O,[8319]
1411,c1c(O)ncc1>>C1=[C&-]NC(O)[C&+]1,[8814]
1412,c1ccccc1>>C#C.C#C.C#C,[2500]
1413,c1c(O)ncc1>>C1(O)CNC=C1,[8806]
1414,c1c(N[#1])cco1>>C1([#1])C(=N)C=CO1,[10955]
1415,C(C([#1])[#1])C>>C=CC.[#1][#1],[11158]
1416,c1cc([#1])ncc1>>C1([#1])C=C=NC=C1,[3141]
1417,c1c([#1])ncn1>>C1=[C&-][N&+]([#1])CN1,[7463]
1418,C(C(=O)[#1])CN>>[C&-]#[O&+].C=C.N[#1],[9240]
1419,c1cc([#1])ncn1>>C1C([#1])[C&-]=[N&+]C=N1,[9181]
1420,c1c([#1])ncn1>>C1=[C&+]NC([#1])[N&-]1,[1264]
1421,C(C#C)[#1].O[#1]>>C=C=CO.[#1][#1],[2236]
1422,C(C#C)[#1].O>>[C&+]C(=C)[#1].[O&-],[10275]
1423,c1c([#1])ncn1>>C1([#1])[C&-]=[N&+]CN1,[7468]
1424,C(C(C)C)[#1]>>C=C[#1].CC,[7217]
1425,C(C(C)O[#1])[#1]>>C(C=O)C.[#1][#1],[1567]
1426,c1c([#1])ncn1>>C(=C=NC=N)[#1],[8703]
1427,c1c([#1])ncn1>>C(=C=N)NC[#1],[7475]
1428,c1cc([#1])no1>>C1=C/C(=N\[#1])O1,[1096]
1429,C(C(CC)[#1])[#1]>>C(C=C)C.[#1][#1],[6726]
1430,c1ccc(C)n1>>C1=CC(C)CN1,[7179]
1431,c1c([#1])nccn1>>C1=[C&+]N([#1])C=C[N&-]1,[238]
1432,C(C(C)[#1])[#1]>>C=C[#1].C[#1],[1133]
1433,c1ccc(C[#1])n1>>C(/C=C\C(=C)[#1])=N,[7192]
1434,c1c([#1])ncc1>>C1=[C&+]N[C&-]C1[#1],[5673]
1435,C(C(C=O)C)[#1]>>C=CC(O[#1])C,[4412]
1436,c1c([#1])cno1>>C1=C=CN([#1])O1,[1092]
1437,C(C(CC)[#1])[#1]>>C(C)C=C.[#1][#1],[11013]
1438,c1ccc(C[#1])n1>>C1=CC([#1])C(=C)N1,[7185]
1439,c1ccc(C[#1])n1>>[C&-]1C=CC(=C)[N&+]1[#1],[7186]
1440,c1ccc(O)n1>>C1(O)[C&+]C=[C&-]N1,[10027]
1441,c1ccc(O)n1>>C1=CC(O)CN1,[10023]
1442,c1ccc(O[#1])n1>>C1([#1])C=CC(=O)N1,[10033]
1443,c1c([#1])ncco1>>C(O/C=C\[N&+]#[C&-])[#1],[11507]
1444,O=C(C1CC1)[#1]>>C(C[#1])=C.[O&+]#[C&-],[6417]
1445,O=C(C1CN1)[#1]>>C(=C)N[#1].[O&+]#[C&-],[5481]
1446,O=C(C1CN1)[#1]>>C(C[#1])=N.[O&+]#[C&-],[5484]
1447,O=C(C1CO1)[#1]>>C(C[#1])=O.[O&+]#[C&-],[10785]
1448,O=C(CC#C)C#N>>C=C=C[N&+]#[C&-].[O&+]#[C&-],[9381]
1449,O=C(CC#C)[#1]>>C=C=C[#1].[O&+]#[C&-],[4649]
1450,C(CC#C)C#N>>C=C=NC1=CC1,[9376]
1451,c1ccn([#1])cn1>>C1C([#1])C=NC=N1,[9183]
1452,O=C(CC[#1])N>>C(CN)[#1].[O&+]#[C&-],[11411]
1453,O=C(CC[#1])[#1]>>C(C[#1])[#1].[O&+]#[C&-],[2164]
1454,C(CC#C)C#C>>C=C=CC1=CC1,[8349]
1455,O=C(CN)[#1]>>[C&-][N&+][#1].[O&+]#[C&-],[6779]
1456,C(CC#C)C#C>>C1C(C=C=C)=C1,[8353]
1457,O=C(CO)[#1].O>>[C&+].[O&+]#[C&-].[O&-].O[#1],[10787]
1458,O=C(N)NC[#1]>>C=N.N[#1].[O&+]#[C&-],[10120]
1459,O=C(N)OC[#1]>>[O&-][C&-]([N&+][#1])[O&+]=C,[5457]
1460,O=C(CCN)[#1]>>C(N)C[#1].[O&+]#[C&-],[10986]
1461,O1CCC1>>C=C.O=C,[10016]
1462,O=C(C#C)C1CN1>>[O&+]#CC(=[C&-])NC=C,[7498]
1463,O=C(C#C)[#1]>>[O&+]#CC(=[C&-])[#1],[1785]
1464,O=C(C#N)[#1]>>O([C&+]=C=[N&-])[#1],[5841]
1465,O=C(C(=O)C#C)[#1]>>[C&-](O[#1])=C=[C&+].[O&+]#[C&-],[4645]
1466,O=C(C(=O)C#N)[#1]>>[C&+](O[#1])=C=[N&-].[O&+]#[C&-],[131]
1467,O=C(C(=O)N)[#1]>>[C&-]#[O&+].N[#1].[O&+]#[C&-],[6749]
1468,O=C(C)C#N>>[O&+](=C=C=[N&-])C,[3931]
1469,C(CC#C)C[#1]>>C=C.C=C=C[#1],[7553]
1470,O=C(C)C1CN1>>CNC=C.[O&+]#[C&-],[7504]
1471,O=C(C)C>>C.C.[O&+]#[C&-],[9088]
1472,O=C(C)C>>CC.[O&+]#[C&-],[524]
1473,O=C(C)C>>[C&+].[C&-].[O&+]#[C&-],[960]
1474,O=C(C)N>>C.N.[O&+]#[C&-],[837]
1475,O=C(C)O>>C.[O&+]#[C&-].O,[2793]
1476,O=C(C)O>>CO.[O&+]#[C&-],[4556]
1477,C(CC#C)[#1]>>C1C(C[#1])=C1,[4266]
1478,O=C(C)C1CN1>>CCC=N.[O&+]#[C&-],[7495]
1479,O=C1C([#1])C=CN1>>O(c1cccn1)[#1],[6236]
1480,O=C1C([#1])N=CN1>>O(c1cncn1)[#1],[839]
1481,O=C1C([#1])N=CN1>>[O&-]c1c[n&+]([#1])cn1,[833]
1482,O=C1C([#1])N=CO1>>O(c1cnco1)[#1],[2788]
1483,O=C1C([#1])N=CO1>>[O&-]c1cn([#1])c[o&+]1,[2787]
1484,O=C1C2NC1C=C2>>[O&+]#[C&-].c1nccc1,[7885]
1485,O=C1CC([#1])O1>>C(C=O)[#1].[O&+]#[C&-],[4562]
1486,O=C1CC2CC12>>C=CC=C.[O&+]#[C&-],[4666]
1487,O=C(N)[#1].O>>N.[O&+]#[C&-].O[#1],[5035]
1488,O=C1CCC1[#1]>>O1[C@](C=C)([#1])C1,[9373]
1489,C(C=O)C>>C1C(C)O1,[4499]
1490,O=C1CCCN1>>C=C.C=N.[O&+]#[C&-],[2028]
1491,O=C1CCCO1>>C=C.C=O.[O&+]#[C&-],[2284]
